node_id,terminal_code,terminal_name,venue_id,floor_id,floor_name,lat,lng,radius,type,weight
420367283333,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.81730088421,106.66491364644,1.2,1,1
420367283838,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817362137441,106.66508061394,1.2,1,1
420367283939,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817417462929,106.66522344159,1.2,1,1
420367283636,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817453687945,106.66520868943,1.2,1,1
420367283737,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817269269634,106.66483586237,1.2,1,1
420367284242,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817575814039,106.66540178612,1.2,1,1
420367284343,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.815395719778,106.66189949169,1.2,1,1
420367284040,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.815387157448,106.66199940397,1.2,2,1
420367284141,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.81784147265,106.66614190599,1.2,1,1
420367284646,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.818086539924,106.66678354343,1.2,1,1
420367284747,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817178726623,106.66459687384,1.2,1,1
420367284444,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.815565519119,106.66191624059,1.2,1,1
420367284545,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816523863599,106.66400915124,1.2,1,1
420367307474,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816440875115,106.66379859783,1.2,1,1
420367307575,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816606193421,106.66422909238,1.2,1,1
420367307272,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.815861404392,106.66199286389,1.2,1,1
420367307373,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816060642963,106.66196067738,1.2,1,1
420367307878,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816508614785,106.66256886827,1.2,1,1
420367307979,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816551426298,106.66269895541,1.2,1,1
